position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
71,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,516352,,1,71,new,2017,1
72,6m2LNopVJKsvBB9l7Z1rwn,Olha a Explosão,MC Kevinho,512499,,1,72,new,2017,1
73,3QhJAGDdxt749dFveYVy4M,Fala a Verdade - Ao Vivo,Maiara & Maraisa,512043,,1,73,new,2017,1
74,3cS6YsU197mrdPTyR7nbp7,Parece Piada - Ao Vivo,Henrique & Juliano,495643,,1,74,new,2017,1
75,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore,Charlie Puth,486562,,1,75,new,2017,1
76,3BhctwMUY5Y9xmes194QTq,Quase um Casal - Ao Vivo,Maiara & Maraisa,477044,,1,76,new,2017,1
77,343YBumqHu19cGoGARUTsd,Fake Love,Drake,476752,,1,77,new,2017,1
78,2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,DNCE,475502,,1,78,new,2017,1
79,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),Machine Gun Kelly,471878,,1,79,new,2017,1
80,1FTsXXwai3jVXhBTLd4e4L,Incerteza - Na Praia / Ao Vivo,Matheus & Kauan,466916,,1,80,new,2017,1
81,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,458589,,1,81,new,2017,1
82,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,458582,,1,82,new,2017,1
83,4jswhbcaGqFe8v5uSHlqyb,O Verão Está Chegando,Mc Davi,458005,,1,83,new,2017,1
84,0Mh4id8WvrTFOB9RiVitrB,Nada Bom II,Costa Gold,455096,,1,84,new,2017,1
85,1LTxGBL6yKtfmW3K8EvbSY,Partiu,MC Kekel,446414,,1,85,new,2017,1
86,5Nw3HvX6k8cB7NjEkqJkij,Fantasma,Luan Santana,438280,,1,86,new,2017,1
87,1OAiWI2oPmglaOiv9fdioU,Hymn for the Weekend - Seeb Remix,Coldplay,420207,,1,87,new,2017,1
88,4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),Adele,407710,,1,88,new,2017,1
89,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,405336,,1,89,new,2017,1
90,2ACOWPLUe4A4KuQ5ioD2od,That's My Girl,Fifth Harmony,403054,,1,90,new,2017,1
