position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
115,0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,133621,,1,115,new,2017,1
116,1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,133167,,1,116,new,2017,1
117,6O6M7pJLABmfBRoGZMu76Y,Roses,The Chainsmokers,132993,,1,117,new,2017,1
118,6TaqooOXAEcijL6G1AWS2K,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,132064,,1,118,new,2017,1
119,5Z01UMMf7V1o0MzF86s6WJ,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,131469,,1,119,new,2017,1
120,5fo4LbJ8lOaB54wcM5wPMv,Come First,Terror Jr,130797,,1,120,new,2017,1
121,6RsWqX8zABZLhZydXxEFOm,Can't Feel My Face,The Weeknd,130646,,1,121,new,2017,1
122,0OwX5aROoW1Iip8FV51Efg,Alarm,Anne-Marie,129512,,1,122,new,2017,1
123,1CnPYaKxTVb4LWOtiGOm0m,All Time Low,Jon Bellion,127558,,1,123,new,2017,1
124,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,127315,,1,124,new,2017,1
125,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,OutKast,126773,,1,125,new,2017,1
126,6cAKeFFYW2aClZSUyvqAEW,It's Gotta Be You,Isaiah,126767,,1,126,new,2017,1
127,0x4GHzCjY5MGQ960CHnVHz,In My Blood,The Veronicas,125995,,1,127,new,2017,1
128,1KGi9sZVMeszgZOWivFpxs,No Scrubs,TLC,125182,,1,128,new,2017,1
129,4sPmO7WMQUAf45kwMOtONw,Hello,Adele,124587,,1,129,new,2017,1
130,0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,123899,,1,130,new,2017,1
131,4OZEu0Vwq0RB2LAq14v99n,Middle,DJ Snake,123313,,1,131,new,2017,1
132,5XJJdNPkwmbUwE79gv0NxK,Gold Digger,Kanye West,121695,,1,132,new,2017,1
133,60xaS8mYBKUW4VQQ666N0T,All Night (feat. Knox Fortune),Chance the Rapper,121673,,1,133,new,2017,1
134,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,121512,,1,134,new,2017,1
135,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,120340,,1,135,new,2017,1
136,3TRFq09DUgYj1mug6RRqJW,Lot to Learn,Luke Christopher,119458,,1,136,new,2017,1
137,4h90qkbnW1Qq6pBhoPvwko,Sidewalks,The Weeknd,118480,,1,137,new,2017,1
138,0N3W5peJUQtI4eyR6GJT5O,King Kunta,Kendrick Lamar,117567,,1,138,new,2017,1
139,2dOTkLZFbpNXrhc24CnTFd,Titanium (feat. Sia),David Guetta,117333,,1,139,new,2017,1
140,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,114570,,1,140,new,2017,1
141,19a3JfW8BQwqHWUMbcqSx8,Famous,Kanye West,113216,,1,141,new,2017,1
142,6AGON2BGdPmPMJGiiNuuwl,Immortal,J. Cole,112826,,1,142,new,2017,1
143,0ADG9OgdVTL7fgREP75BrZ,Ain't My Fault,Zara Larsson,112522,,1,143,new,2017,1
144,2FBUoWkIuQXwayw2RNo5l6,Hotline Bling,Drake,111571,,1,144,new,2017,1
145,1WP1r7fuvRqZRnUaTi2I1Q,Stitches,Shawn Mendes,110149,,1,145,new,2017,1
146,66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),Jack Ü,109872,,1,146,new,2017,1
147,1a5Yu5L18qNxVhXx38njON,Hear Me Now,Alok,109303,,1,147,new,2017,1
148,48ByhmhBjgyWIRzdHDuQMD,High - Original Mix,Peking Duk,109184,,1,148,new,2017,1
149,0JiVRyTJcJnmlwCZ854K4p,Alone,Alan Walker,108587,,1,149,new,2017,1
150,2HJQcyUpmUuvzS5vBAICIc,Working For It - Bonus Track,ZHU,107813,,1,150,new,2017,1
151,3E2Zh20GDCR9B1EYjfXWyv,Weak,AJR,106101,,1,151,new,2017,1
152,6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,106023,,1,152,new,2017,1
153,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,105949,,1,153,new,2017,1
154,2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Pitbull,105848,,1,154,new,2017,1
155,6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,105424,,1,155,new,2017,1
156,0WqIKmW4BTrj3eJFmnCKMv,Crazy In Love (feat. Jay-Z),Beyoncé,105241,,1,156,new,2017,1
157,0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,104748,,1,157,new,2017,1
158,5nA67Y0XX9JipZwYxX7Gl7,This Town,Niall Horan,104122,,1,158,new,2017,1
159,62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,103849,,1,159,new,2017,1
160,7wwifjNAb172PtDpKK3CoR,V. 3005,Childish Gambino,103366,,1,160,new,2017,1
